model,name,price,quantity,status
139952,"Osio OST-5006-TR – Συμβατό Τηλεχειριστήριο",12,3,1
140038,"Rohnson Rs-1200 – Ασύρματο Φορητό Ηχείο Bluetooth Party Box 400W",229,0,0
140121,"Osio OST-5020-6A – Συμβατό Τηλεχειριστήριο Για Τηλεοράσεις LG, Panasonic Philips Samsung Sony και Telefunken",12,2,1
140152,"F&U FL24114 – Τηλεόραση (2021) 24"" HD Ready",139,0,0
140343,"LG 32LQ630B6LA – Τηλεόραση 32"" Smart HD",229,0,0
140351,"Ασύρματο Ηχείο Akai Party Box 810",219,0,0
140352,"F&U FD23602 – DVD Player",35,2,1
140396,"JBL JBLS-SPK-066BK Charge 5 – Φορητό Ηχείο Bluetooth (Μαύρο)",138,0,0
140451,"Samsung UE50BU8572 – Τηλεόραση 50"" Smart 4K",579,0,0
140452,"TV Samsung UE55BU8572UXXH 55'' Smart 4K",568,0,0
140469,"PS5 CONSOLE & HORIZON FORBIDEN WEST BLUNDLE",649,0,0
140539,"Sony HTS400 – Soundbar",213,1,1
140605,"Panasonic TX-32LS480E – Τηλεόραση 32"" Smart HD",219,0,0
140606,"Panasonic TX-32LS490E – Τηλεόραση 32"" Smart Full HD",259,0,0
140695,"TV Panasonic TX-43LX650E GoogleTv 43'' Smart 4K UHD",429,0,0
140729,"Φορητό Ηχείο Sony SRSXE200B",68.9,0,0
140732,"Sony SRSXE200L – Φορητό Ηχείο Μπλε",69,0,0
140773,"TV LG 43NANO766QA 43'' Smart 4K UHD",449,0,0
140868,"Osio OTA-3035 – Κεραία Τηλεόρασης Εσωτερικού - Εξωτερικού",35,0,0
140888,"Crystal Audio CASB160S – Soundbar",89.9,0,0
140889,"Soundbar Crystal Audio CASB360",189,0,0
140944,"Ηχοσύστημα Micro Panasonic SC-PMX90EG-S",249,0,0
140997,"Sony PlayStation 5 God of War Ragnarok (Voucher) (Official Bundle)",569,0,0
141116,"TV Samsung QE65QN90C 65'' Smart 4K",1799,0,0
141144,"LG S60Q – Soundbar 300W",199,0,0
141147,"Sony KD32W800P1AEP – Τηλεόραση Direct LED 32"" HD Ready Android",299,4,1
141153,"Samsung UE55CU8572UXXH – Τηλεόραση 55"" Smart 4K",529,0,0
141160,"TV Samsung UE85CU8072UXXH 85'' 4K Ultra HD",999,0,0
141161,"TV Samsung UE43CU7172UXXH 43'' Smart 4K UHD",369,0,0
141164,"Samsung UE65CU7172UXXH – Τηλεόραση 65"" Smart 4K",619,0,0
141184,"TV Samsung QE65Q80C 65'' Smart 4K",1049,0,0
141188,"Samsung QE55Q70C – Τηλεόραση 55"" Smart 4K",779,0,0
141189,"TV Samsung QE65Q70C 65'' Smart 4K",949,0,0
141192,"TV Samsung QE43Q60C 43'' Smart 4K UHD",449,0,0
141201,"LG XL7S – Ηχοσύστημα",429,0,0
141203,"LG XG5QBK – Φορητό Ηχείο XBoom Go",79,0,0
141204,"Φορητό Ηχείο LG XBoom Go XG7QBK",99,0,0
141220,"Kydos K65AU22SD01B – Τηλεόραση Smart 65"" 4K UHD LED",448,1,1
141226,"TV LG 32LQ570B6LA 32'' Smart HD",269,0,0
141227,"LG 43UR78006LK – Τηλεόραση 43"" Smart 4K",339,0,0
141230,"LG 65UR78006LK – Τηλεόραση 65"" Smart 4K",549,0,0
141232,"LG 86UR78006LB – Τηλεόραση 86"" Smart 4K",998,0,0
141263,"Kydos K55AU22SD01B – Τηλεόραση Smart 55"" 4K UHD LED HDR",349,1,1
141289,"LG 55QNED866RE – 55"" UHD 4k QNED Smart ΤV",697,0,0
141309,"Kydos K50WU22SD01BV2 – Τηλεόραση 50"" Smart 4K",269,0,0
141310,"Kydos K43AU22SD01B – Τηλεόραση Smart 43"" 4K UHD LED HDR",249,0,0
141328,"Sony XR55A80L – Τηλεόραση 55"" Smart 4K",1139,0,0
141329,"Sony XR65A80L – Τηλεόραση OLED 65"" Smart 4K",1569,0,0
141353,"Panasonic TX-24MS350E – Τηλεόραση 24"" Smart HD",199,0,0
141358,"TV F&U FLA4321UH 43'' Smart 4K UHD",289,0,0
141377,"TV Hisense 55A6K 55'' Smart 4K",369,0,0
141399,"Kydos K24NH22CD00T3V2 – Τηλεόραση 24"" LED HD",89,0,0
141400,"Samsung UE32T4302 – Τηλεόραση 32"" Smart HD",259,0,0
141401,"Samsung UE32T5302CE – Τηλεόραση 32"" Smart Full HD",279,0,0
141408,"Xiaomi Box S (2nd GEN)",69.9,0,0
141411,"Panasonic TX-50MX600E – Τηλεόραση 50"" Smart 4K",399,1,1
141412,"Panasonic TX-43MX600E – Τηλεόραση 43"" Smart 4K UHD",299,0,0
141425,"Sony KD43X75WL – Τηλεόραση 43"" Smart 4K UHD",495,0,0
141427,"Sony KD55X85L – Τηλεόραση 55"" Smart 4K LED",799,0,0
